Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.300682067871094,23.4136091546407,23.029655910867387,23.052241902599633,38409100
2010-01-05,23.308210372924805,23.41361023660008,23.067298860431404,23.225397937971373,49749600
2010-01-06,23.165170669555664,23.398553523933053,22.976958365973207,23.247983106688718,58182400
2010-01-07,22.92426109313965,23.112473412669708,22.72852010851486,23.059772757006616,50559700
2010-01-08,23.082347869873047,23.247974116032676,22.76615126469895,22.79626591087999,51197400
2010-01-11,22.788740158081055,23.157636005212336,22.675813092378913,23.119992692681258,68754700
2010-01-12,22.63817596435547,22.886616151149596,22.517720203239886,22.69840384491326,65912100
2010-01-13,22.848968505859375,22.97695289928316,22.592999719011804,22.78121197781469,51863500
2010-01-14,23.308210372924805,23.41361023660008,22.78121679833196,22.81885868367935,63228100
2010-01-15,23.23293113708496,23.51901325502501,23.120002587108416,23.398557475266447,79913200
2010-01-19,23.413604736328125,23.51900313929756,23.09740809147428,23.150107292958996,46575700
2010-01-20,23.029659271240234,23.293156802781436,22.818860958818068,23.195285593606634,54849500
2010-01-21,22.59300422668457,23.127526459076787,22.585475562516894,23.04471402512408,73086700
2010-01-22,21.802507400512695,22.736041469093376,21.712166320292358,22.585471087465375,102004600
2010-01-25,22.07353401184082,22.329502804824973,21.907907737063972,22.013306145017822,63373000
2010-01-26,22.20905113220215,22.47254863621406,21.900383078799756,21.983196949303867,66639900
2010-01-27,22.337038040161133,22.44996514418893,21.847686298743323,22.09612650198289,63949500
2010-01-28,21.953083038330078,22.48760672873856,21.749813405247448,22.46502073530296,117513700
2010-01-29,21.215290069580078,22.525247467220517,20.823808152323164,22.510190139030826,193888500
2010-02-01,21.388437271118164,21.441136464704453,21.01954148006881,21.373379948394845,85931100
2010-02-02,21.426082611083984,21.456197261406494,21.18517115228615,21.358327519749462,54413700
2010-02-03,21.5540714263916,21.674528616456314,21.170119607603908,21.275518033471442,61397900
2010-02-04,20.959318161010742,21.4561984308495,20.93673217203784,21.365855910903527,77850000
2010-02-05,21.09482765197754,21.290568548770327,20.756045054462056,21.07977032854454,80960100
2010-02-08,20.86898422241211,21.140010457750655,20.756057103003126,21.087311231089544,52820600
2010-02-09,21.08730125427246,21.33574137380881,20.891560336464195,21.057186604173243,59195800
2010-02-10,21.072246551513672,21.26045883021881,20.959319471479734,21.102361205360445,48591300
2010-02-11,21.170116424560547,21.380913244601157,20.853919758553992,21.02707469957182,65993700
2010-02-12,21.027074813842773,21.124944561401264,20.7635773514144,20.936732293373232,81117200
2010-02-16,21.44308090209961,21.45820864206909,21.193478963245994,21.276678647756743,51935600
2010-02-17,21.62460708618164,21.66998885846076,21.450642423561234,21.57922531390252,45882900
2010-02-18,21.91202735900879,21.9574105748974,21.56409802649281,21.624607538350396,42856500
2010-02-19,21.76075553894043,21.874210699796738,21.70024602363969,21.775883278430776,44451800
2010-02-22,21.73050880432129,21.889347247565258,21.669999264671496,21.81370996233771,36707100
2010-02-23,21.427955627441406,21.806140514224815,21.246427054904675,21.69268533672196,52266200
2010-02-24,21.654857635498047,21.77587807986892,21.465765264992733,21.57165797348471,43165900
2010-02-25,21.632171630859375,21.66998953516285,21.19347730470042,21.382569711538945,48735300
2010-02-26,21.685117721557617,21.821264488117297,21.56409869409582,21.669989982459743,40370600
2010-03-01,21.949848175048828,21.972538341851603,21.579227209776757,21.76075575750222,43805400
2010-03-02,21.526275634765625,22.161626140722507,21.359874861361813,21.995225367318696,93123900
2010-03-03,21.526275634765625,21.639732215776775,21.443075969393895,21.56409497598946,48442100
2010-03-04,21.654857635498047,21.669985371376942,21.382565602979398,21.526274765848022,42890600
2010-03-05,21.62460708618164,21.692680465930586,21.496024195840356,21.677552727617368,56001800
2010-03-08,21.654857635498047,21.8817693457006,21.556530237605813,21.57165797348471,39414500
2010-03-09,21.783445358276367,22.01792098865714,21.5943529456432,21.601916815267803,50271600
2010-03-10,21.91202735900879,22.017920086754987,21.78344446597885,21.82882768186746,44891400
2010-03-11,22.070859909057617,22.07842377637774,21.82125805813426,21.851512084754575,35349700
2010-03-12,22.138940811157227,22.222140494689857,21.964976131535476,22.176758717975634,31700200
2010-03-15,22.154067993164062,22.214577508146437,21.942283969395433,22.070866869065558,37512000
2010-03-16,22.214570999145508,22.3053345236945,22.085988137150924,22.25238889393089,36723500
2010-03-17,22.41122817993164,22.592758133763297,22.237263537058368,22.31290077737816,50385700
2010-03-18,22.396099090576172,22.479298746148864,22.31289799234329,22.411225382623815,43845200
2010-03-19,22.38097381591797,22.615447959021285,22.199445307451498,22.509556689747594,81332100
2010-03-22,22.388540267944336,22.464177515866346,22.22970190304207,22.31290302002233,37718200
2010-03-23,22.600313186645508,22.615440918306515,22.24482014857116,22.380966848200455,42026600
2010-03-24,22.426362991333008,22.57763751969491,22.388545080572943,22.47930864346143,33987700
2010-03-25,22.698654174804688,23.12222078988482,22.53981579248672,22.56250740214948,73168700
2010-03-26,22.43391990661621,22.842360140964253,22.380974270903028,22.759159031894754,55595500
2010-03-29,22.38097381591797,22.554938456199128,22.350718343176716,22.47173734882103,33336000
2010-03-30,22.517122268676758,22.585195644856118,22.312902140138675,22.4112295486975,34954800
2010-03-31,22.154067993164062,22.47930573453143,22.063302999360182,22.418796219549055,63760000
2010-04-01,22.055736541748047,22.343157786185273,21.64729772420629,22.19944716396666,74768100
2010-04-05,22.138940811157227,22.259959844168936,21.95741226163966,22.033048075276476,34331200
2010-04-06,22.176761627197266,22.373417942304496,21.91959578764634,22.0481787074218,47366800
2010-04-07,22.199451446533203,22.35828839436883,22.040613056036833,22.055740796590914,58318800
2010-04-08,22.630578994750977,22.67596076781881,22.161629197514838,22.176756936090968,63713800
2010-04-09,22.948251724243164,23.001197360675842,22.615448726102954,22.653268068312293,54752500
2010-04-12,22.933120727539062,23.061703587452662,22.849919629165505,22.88017509863232,37068800
2010-04-13,23.031457901000977,23.069275808869264,22.789418385597514,22.804546125809114,41374600
2010-04-14,23.311309814453125,23.447456567282373,23.19029079919612,23.288619650755223,68941200
2010-04-15,23.349132537841797,23.409642054228204,23.22811206240832,23.311313188437378,52745400
2010-04-16,23.197856903076172,23.432331087395458,23.14491125913252,23.288621894594286,88703100
2010-04-19,23.477712631225586,23.636549551736216,23.26592862788425,23.273492496860065,64970300
2010-04-20,23.71974754333496,23.780257044510392,23.54578146512782,23.613854834282723,52199500
2010-04-21,23.697065353393555,23.825648274805285,23.621428086211203,23.697065353393555,55343100
2010-04-22,23.74244499206543,23.84833773362015,23.371824003275794,23.47771674483051,84847600
2010-04-23,23.417203903198242,23.886153725608416,23.182729713323475,23.538224375643313,126766600
2010-04-26,23.530664443969727,23.65924736496752,23.341571997953025,23.4474633060709,63649300
2010-04-27,23.334007263183594,23.63655487707803,23.25836999904478,23.409644527322406,68730900
2010-04-28,23.379383087158203,23.447456463270857,23.160036663975557,23.38694695591077,64557900
2010-04-29,23.447460174560547,23.772699369097904,23.197858236860363,23.39451452757273,52665200
2010-04-30,23.099531173706055,23.507970058750505,23.084403433570152,23.500406188682554,63214800
